Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
52,2.0,0.0,0.0,811.0,12.0,55.0,3279.0,0.1,38.71099999999997,0.0,0.0,515.451096534729,,,,,,,,,,,,,,,,,,,,,12.422940685736373,13.101969763714706,38.10390797432518,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,878.0,13.0,67.0,3346.0,0.1,49.80899999999998,0.0,0.0,521.7750580310822,,,,,,,,,,,,,,,,,,,,,16.60699839362338,16.58193401505853,48.79387005386492,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,908.0,14.0,30.0,3376.0,0.1,16.107000000000006,0.0,0.0,525.0143346786499,,,,,,,,,,,,,,,,,,,,,4.5602916442324615,5.530037818891392,16.00217960770884,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,941.0,15.0,33.0,3409.0,0.1,19.70700000000002,0.0,0.0,528.3678760528564,,,,,,,,,,,,,,,,,,,,,5.923013165885822,6.796912838435719,19.55062225942236,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1020.0,16.0,79.0,3488.0,0.1,71.90700000000004,0.0,0.0,535.8422825336456,,,,,,,,,,,,,,,,,,,,,28.44992778275533,23.32695718685242,69.79898387392628,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1126.0,17.0,106.0,3594.0,0.1,80.90800000000003,0.0,0.0,545.4014728069305,,,,,,,,,,,,,,,,,,,,,35.35441554777654,23.699308645358443,77.31498460616343,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1190.0,18.0,64.0,3658.0,0.1,38.50700000000001,0.0,0.0,551.5601091384888,,,,,,,,,,,,,,,,,,,,,13.740494270033109,11.318967488747173,37.70297661697522,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1217.0,19.0,27.0,3685.0,0.1,14.506999999999994,0.0,0.0,554.3874986171722,,,,,,,,,,,,,,,,,,,,,4.1619864617545925,5.056683304263219,14.423458859793353,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1299.0,20.0,82.0,3767.0,0.1,67.20700000000005,0.0,0.0,562.0563359260559,,,,,,,,,,,,,,,,,,,,,28.4211562225996,21.836941429633907,65.00641300935253,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,125.0,1.0,125.0,3892.0,0.1,120.10700000000007,0.0,0.0,681.3020448684692,,,,,,,,,,,,,,,,,,,,,50.629914520417714,36.16110313131688,114.00615899678235,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,204.0,2.0,79.0,3971.0,0.1,59.40900000000004,0.0,0.0,688.7099647521973,,,,,,,,,,,,,,,,,,,,,24.558241826030063,19.64400583895678,57.584009330395084,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,397.0,3.0,193.0,4164.0,0.1,163.8079999999998,0.0,0.0,705.7692632675171,,,,,,,,,,,,,,,,,,,,,73.76706074795084,45.43984287761396,149.8705485021012,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,452.0,4.0,55.0,4219.0,0.1,46.107,0.0,0.0,711.0167725086212,,,,,,,,,,,,,,,,,,,,,17.233090308352356,15.50414218526933,45.24963405150959,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,477.0,5.0,25.0,4244.0,0.1,12.205999999999996,0.0,0.0,713.9115288257599,,,,,,,,,,,,,,,,,,,,,3.368212270202863,4.217749560922188,12.146074696563359,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,853.0,6.0,376.0,4620.0,0.1,318.109,0.0,0.0,746.6115810871124,,,,,,,,,,,,,,,,,,,,,121.69022477765468,81.92739460980293,272.899000585773,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,1060.0,7.0,207.0,4827.0,0.1,119.4109999999996,0.0,0.0,765.1310114860535,,,,,,,,,,,,,,,,,,,,,44.009084786342925,28.979070941893482,110.52205303324044,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,1160.0,8.0,100.0,4927.0,0.1,90.00700000000005,0.0,0.0,774.1055815219879,,,,,,,,,,,,,,,,,,,,,35.26785923646718,28.112874629013017,86.653434291502,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,1277.0,9.0,117.0,5044.0,0.1,123.10600000000017,0.0,0.0,784.9188635349274,,,,,,,,,,,,,,,,,,,,,54.510647842880786,36.64518031861459,116.96206136304762,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1365.0,10.0,88.0,5132.0,0.1,76.10700000000007,0.0,0.0,793.0764355659485,,,,,,,,,,,,,,,,,,,,,33.61643014609376,23.85913897432204,73.29527139466165,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,1414.0,11.0,49.0,5181.0,0.1,25.907000000000025,0.0,0.0,797.76100897789,,,,,,,,,,,,,,,,,,,,,8.961559877570295,7.705374845886964,25.518895838780782,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1505.0,12.0,91.0,5272.0,0.1,48.709000000000024,0.0,0.0,806.0609784126282,,,,,,,,,,,,,,,,,,,,,16.80240106496967,13.435027589604035,47.27448319499454,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1550.0,13.0,45.0,5317.0,0.1,22.811000000000032,0.0,0.0,810.5408580303192,,,,,,,,,,,,,,,,,,,,,5.888760084880974,7.443834040690092,22.591165536086997,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1625.0,14.0,75.0,5392.0,0.1,64.90900000000002,0.0,0.0,817.7083539962769,,,,,,,,,,,,,,,,,,,,,24.743100146777866,21.105427728337798,63.179563436300796,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1652.0,15.0,27.0,5419.0,0.1,14.605999999999995,0.0,0.0,820.5851693153381,,,,,,,,,,,,,,,,,,,,,4.238221316550673,5.074277463719868,14.520594693244929,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1725.0,16.0,73.0,5492.0,0.1,43.308000000000014,0.0,0.0,827.4645450115204,,,,,,,,,,,,,,,,,,,,,15.202242278930651,12.562723098344138,42.28275954997845,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1935.0,17.0,210.0,5702.0,0.1,226.20799999999937,0.0,0.0,846.0657823085785,,,,,,,,,,,,,,,,,,,,,97.00333101096358,65.03086578297274,206.24959342495427,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
